fid,OBJECTID,MPDMR_NO,ARA_XCRD,ARA_YCRD,PRRCK_LARG,PRRCK_MDDL,LOCTN_ALTT,LOCTN_GRDN,EIGHT_ORBR,CLZN_CD,TPGRP_TPCD,PRDN_FOM_C,SLANT_TYP_,SLDPT_TPCD,SCSTX_CD,SLTP_CD,LDMARK_STN,MAP_LABEL_,Shape_Leng,Shape_Area
1758744,1758744,"37612004","186618.14","443767.16","3","31",45.500000000000000,21.800000000000001,345.300000000000010,"2","07","05","2","20","02","02","L102","B©ü",520.863187905368930,8958.601756853167900
1758745,1758745,"37612005","186735.32","443619.71","3","31",76.599999999999994,16.800000000000001,357.800000000000010,"2","07","01","1","10","01","01","L101","B©û",3015.229696999945200,63962.672732261381000
1083351,1083351,"37608063","182585.67","453939.51","1","11",84.500000000000000,13.800000000000001,242.300000000000010,"2","07","01","1","20","01","01","L101","B©û",5724.086439723203500,124094.368351605920000
1083344,1083344,"37608063","182351.04","453707.54","1","11",36.399999999999999,7.900000000000000,354.800000000000010,"2","","","","","","93","L993","C",70.370539534303489,324.089836728577500
1083347,1083347,"37608063","182460.67","453759.51","1","11",55.000000000000000,27.500000000000000,242.099999999999990,"2","07","05","3","20","01","02","L102","B©ü",692.227518018255070,15713.250026406577000
1083350,1083350,"37608063","182560.67","453859.51","1","11",65.700000000000003,15.699999999999999,241.900000000000010,"2","07","05","3","20","01","02","L102","B©ü",1085.791791959266200,36851.359520423590000
1083346,1083346,"37608063","182390.67","453489.51","1","11",31.000000000000000,29.600000000000001,247.199999999999990,"2","","","","","","82","L983","R",211.772936225504220,1794.406057975978700
1083348,1083348,"37608063","182470.67","453509.51","1","11",45.799999999999997,15.500000000000000,218.400000000000010,"2","07","05","2","20","01","02","L102","B©ü",1032.621136911470300,19413.910839255146000
1083353,1083353,"37608063","182690.67","454139.51","1","11",56.899999999999999,16.000000000000000,298.100000000000020,"2","07","05","2","30","01","02","L102","B©ü",2846.944492759985200,88676.151396482528000
1083349,1083349,"37608063","182560.67","453524.51","1","11",74.000000000000000,23.899999999999999,238.500000000000000,"2","","","","","","82","L983","R",282.512243048167870,2378.325399024215100
1083352,1083352,"37608063","182605.67","453069.51","1","11",25.899999999999999,13.600000000000000,250.199999999999990,"2","","","","","","82","L983","R",256.145721726758840,2395.277048602439700
1083358,1083358,"37608063","182815.67","454329.51","1","11",52.299999999999997,22.500000000000000,52.100000000000001,"2","07","03","1","20","01","01","L101","B©û",1056.238683227673600,14351.714989227588000
1083721,1083721,"37608073","182715.04","452825.27","1","11",30.000000000000000,9.100000000000000,168.800000000000010,"2","","","","","","82","L983","R",165.626440013397460,1934.494189653583100
1083355,1083355,"37608063","182740.67","454314.51","1","11",74.000000000000000,12.300000000000001,211.900000000000010,"2","","","","","","82","L983","R",389.442263509099010,6367.679437445261100
1083357,1083357,"37608063","182815.67","452894.51","1","11",31.899999999999999,12.000000000000000,201.900000000000010,"2","07","05","2","20","01","02","L102","B©ü",1035.502779354169000,35923.852782042886000
1083369,1083369,"37608063","182995.67","453824.51","1","11",50.299999999999997,14.000000000000000,341.800000000000010,"2","07","05","2","30","01","02","L102","B©ü",1938.081784290761300,91708.411437196672000
1083361,1083361,"37608063","182880.67","453964.51","1","11",83.000000000000000,18.800000000000001,73.500000000000000,"2","","","","","","82","L983","R",656.765252336897670,8205.609091916128800
1083360,1083360,"37608063","182865.67","454199.51","1","11",74.599999999999994,22.500000000000000,41.799999999999997,"2","07","01","1","20","01","01","L101","B©û",966.426462186241570,20513.099783393107000
1083359,1083359,"37608063","182824.52","453747.96","1","11",83.200000000000003,2.300000000000000,71.599999999999994,"2","","","","","","91","L991","S",274.615774123037800,5414.499446856342700
1083356,1083356,"37608063","182805.67","453624.51","1","11",110.000000000000000,3.300000000000000,192.400000000000010,"2","","","","","","82","L983","R",221.848929630155790,1387.845652716723000
1083367,1083367,"37608063","182955.67","453159.51","1","11",56.000000000000000,9.500000000000000,111.200000000000000,"2","07","05","2","20","01","02","L102","B©ü",2519.826598135745400,71421.972265077537000
1083363,1083363,"37608063","182890.67","454084.51","1","11",49.299999999999997,22.000000000000000,58.200000000000003,"2","07","05","2","20","01","02","L102","B©ü",1140.726831649525100,29343.600174603507000
1083722,1083722,"37608073","182875.65","452814.32","1","11",27.899999999999999,12.000000000000000,206.000000000000000,"2","","","","","","82","L983","R",202.551359230402000,2153.474570773334100
1083362,1083362,"37608063","182890.01","453525.85","1","11",115.300000000000000,3.200000000000000,206.599999999999990,"2","","","","","","91","L991","S",176.952007266518110,1839.251812014683800
1083364,1083364,"37608063","182895.67","453014.51","1","11",66.500000000000000,15.400000000000000,189.300000000000010,"2","","","","","","82","L983","R",114.866327201407440,924.946288427301060
1083368,1083368,"37608063","182970.67","453339.51","1","11",71.799999999999997,16.699999999999999,94.900000000000006,"2","","","","","","82","L983","R",182.325227834234480,1307.035650748705600
1083366,1083366,"37608063","182955.67","453059.51","1","11",65.000000000000000,13.300000000000001,61.600000000000001,"2","","","","","","82","L983","R",111.339759270088290,867.270011398896830
1083371,1083371,"37608063","183185.67","453624.51","1","11",65.200000000000003,10.000000000000000,93.200000000000003,"2","07","05","2","20","01","02","L102","B©ü",2470.029863883343300,79050.541478458123000
1083370,1083370,"37608063","183062.28","453679.94","1","11",87.099999999999994,4.000000000000000,135.000000000000000,"2","","","","","","93","L993","C",179.363601182351570,1789.403786458070700
1083372,1083372,"37608063","183290.67","453839.51","1","11",30.199999999999999,15.900000000000000,55.100000000000001,"2","07","05","2","20","01","02","L102","B©ü",585.468099176443270,17454.340983774877000
1083373,1083373,"37608063","183500.67","453844.51","1","11",30.600000000000001,23.100000000000001,45.500000000000000,"2","07","05","2","20","01","02","L102","B©ü",1793.327622107665100,29922.924772996608000
1083375,1083375,"37608063","183760.67","453484.51","1","11",52.100000000000001,19.000000000000000,237.199999999999990,"2","07","01","1","20","01","01","L101","B©û",3650.245872931126500,89933.740377880444000
